execution_time,status,appointmentdate
2025-05-13 04:00:55,Too Many Requests,N/A
2025-05-13 04:02:42,No Appointments,N/A
2025-05-13 04:04:52,No Appointments,N/A
2025-05-13 04:06:48,No Appointments,N/A
2025-05-13 04:08:47,No Appointments,N/A
2025-05-13 04:10:52,No Appointments,N/A
2025-05-13 04:12:54,No Appointments,N/A
2025-05-13 04:14:43,No Appointments,N/A
2025-05-13 04:16:42,No Appointments,N/A
2025-05-13 04:19:11,No Appointments,N/A
2025-05-13 04:20:44,No Appointments,N/A
2025-05-13 04:22:45,No Appointments,N/A
2025-05-13 04:24:48,No Appointments,N/A
2025-05-13 04:26:48,No Appointments,N/A
2025-05-13 04:28:47,No Appointments,N/A
2025-05-13 04:30:46,No Appointments,N/A
2025-05-13 04:32:47,No Appointments,N/A
2025-05-13 04:34:55,No Appointments,N/A
2025-05-13 04:36:43,No Appointments,N/A
2025-05-13 04:38:53,Too Many Requests,N/A
2025-05-13 04:40:49,No Appointments,N/A
2025-05-13 04:42:48,No Appointments,N/A
2025-05-13 04:44:45,Too Many Requests,N/A
2025-05-13 04:46:47,No Appointments,N/A
2025-05-13 04:48:52,Access Denied,N/A
2025-05-13 04:50:42,No Appointments,N/A
2025-05-13 04:52:47,No Appointments,N/A
2025-05-13 04:54:54,No Appointments,N/A
2025-05-13 04:56:43,No Appointments,N/A
2025-05-13 04:58:47,No Appointments,N/A
2025-05-13 05:00:50,No Appointments,N/A
2025-05-13 05:02:50,Access Denied,N/A
2025-05-13 05:04:44,No Appointments,N/A
2025-05-13 05:06:42,No Appointments,N/A
2025-05-13 05:08:51,Access Denied,N/A
2025-05-13 05:10:49,No Appointments,N/A
2025-05-13 05:12:51,Too Many Requests,N/A
2025-05-13 05:14:47,No Appointments,N/A
2025-05-13 05:16:53,No Appointments,N/A
2025-05-13 05:18:45,No Appointments,N/A
2025-05-13 05:20:44,No Appointments,N/A
2025-05-13 05:22:43,No Appointments,N/A
2025-05-13 05:24:54,Too Many Requests,N/A
2025-05-13 05:26:56,No Appointments,N/A
2025-05-13 05:28:57,No Appointments,N/A
2025-05-13 05:30:52,No Appointments,N/A
2025-05-13 05:32:51,Too Many Requests,N/A
2025-05-13 05:34:48,No Appointments,N/A
2025-05-13 05:36:40,No Appointments,N/A
2025-05-13 05:38:46,No Appointments,N/A
2025-05-13 05:40:50,No Appointments,N/A
2025-05-13 05:42:46,No Appointments,N/A
2025-05-13 05:44:45,No Appointments,N/A
2025-05-13 05:46:46,No Appointments,N/A
2025-05-13 05:48:48,No Appointments,N/A
2025-05-13 05:50:45,No Appointments,N/A
2025-05-13 05:52:51,No Appointments,N/A
2025-05-13 05:54:52,No Appointments,N/A
2025-05-13 05:56:51,No Appointments,N/A
2025-05-13 05:58:48,No Appointments,N/A
2025-05-13 06:00:45,No Appointments,N/A
2025-05-13 06:02:51,No Appointments,N/A
2025-05-13 06:04:55,No Appointments,N/A
2025-05-13 06:06:47,No Appointments,N/A
2025-05-13 06:08:48,No Appointments,N/A
2025-05-13 06:10:46,No Appointments,N/A
2025-05-13 06:12:51,Too Many Requests,N/A
2025-05-13 06:14:45,No Appointments,N/A
2025-05-13 06:16:41,No Appointments,N/A
2025-05-13 06:18:43,Access Denied,N/A
2025-05-13 06:20:42,No Appointments,N/A
2025-05-13 06:22:41,No Appointments,N/A
2025-05-13 06:24:53,No Appointments,N/A
2025-05-13 06:26:44,Too Many Requests,N/A
2025-05-13 06:28:56,No Appointments,N/A
2025-05-13 06:30:44,No Appointments,N/A
2025-05-13 06:33:07,No Appointments,N/A
2025-05-13 06:34:49,No Appointments,N/A
2025-05-13 06:36:46,No Appointments,N/A
2025-05-13 06:38:46,No Appointments,N/A
2025-05-13 06:40:56,No Appointments,N/A
2025-05-13 06:42:49,No Appointments,N/A
2025-05-13 06:44:46,No Appointments,N/A
2025-05-13 06:46:44,No Appointments,N/A
2025-05-13 06:48:51,No Appointments,N/A
2025-05-13 06:50:44,No Appointments,N/A
2025-05-13 06:52:49,No Appointments,N/A
2025-05-13 06:55:13,No Appointments,N/A
2025-05-13 06:56:44,No Appointments,N/A
2025-05-13 06:58:50,No Appointments,N/A
2025-05-13 07:00:45,No Appointments,N/A
2025-05-13 07:02:57,Too Many Requests,N/A
2025-05-13 07:05:07,No Appointments,N/A
2025-05-13 07:06:44,No Appointments,N/A
2025-05-13 07:08:40,No Appointments,N/A
2025-05-13 07:10:47,No Appointments,N/A
2025-05-13 07:12:54,Too Many Requests,N/A
2025-05-13 07:14:50,No Appointments,N/A
2025-05-13 07:16:48,No Appointments,N/A
2025-05-13 07:18:53,No Appointments,N/A
2025-05-13 07:20:48,No Appointments,N/A
2025-05-13 07:22:49,Too Many Requests,N/A
2025-05-13 07:24:49,No Appointments,N/A
2025-05-13 07:26:47,No Appointments,N/A
2025-05-13 07:28:45,No Appointments,N/A
2025-05-13 07:30:49,Too Many Requests,N/A
2025-05-13 07:32:48,No Appointments,N/A
2025-05-13 07:34:47,Too Many Requests,N/A
2025-05-13 07:36:43,No Appointments,N/A
2025-05-13 07:38:51,Too Many Requests,N/A
2025-05-13 07:40:43,No Appointments,N/A
2025-05-13 07:42:46,Too Many Requests,N/A
2025-05-13 07:44:46,Access Denied,N/A
2025-05-13 07:46:43,No Appointments,N/A
2025-05-13 07:48:45,Access Denied,N/A
2025-05-13 07:50:48,No Appointments,N/A
2025-05-13 07:52:53,No Appointments,N/A
2025-05-13 07:54:46,No Appointments,N/A
2025-05-13 07:56:51,No Appointments,N/A
2025-05-13 07:58:48,No Appointments,N/A
2025-05-13 08:00:47,Too Many Requests,N/A
2025-05-13 08:02:41,No Appointments,N/A
2025-05-13 08:04:48,No Appointments,N/A
2025-05-13 08:06:52,No Appointments,N/A
2025-05-13 08:08:53,Appointments Available,20.05.2025
2025-05-13 08:10:53,No Appointments,N/A
2025-05-13 08:12:46,No Appointments,N/A
2025-05-13 08:14:51,No Appointments,N/A
2025-05-13 08:16:41,No Appointments,N/A
2025-05-13 08:18:48,No Appointments,N/A
2025-05-13 08:20:45,No Appointments,N/A
2025-05-13 08:22:46,No Appointments,N/A
2025-05-13 08:24:45,No Appointments,N/A
2025-05-13 08:27:14,No Appointments,N/A
2025-05-13 08:29:15,No Appointments,N/A
2025-05-13 08:30:55,No Appointments,N/A
2025-05-13 08:32:41,No Appointments,N/A
2025-05-13 08:34:46,No Appointments,N/A
2025-05-13 08:36:45,No Appointments,N/A
2025-05-13 08:38:47,No Appointments,N/A
2025-05-13 08:40:53,No Appointments,N/A
2025-05-13 08:42:41,No Appointments,N/A
2025-05-13 08:44:50,No Appointments,N/A
2025-05-13 08:46:46,No Appointments,N/A
2025-05-13 08:48:57,No Appointments,N/A
2025-05-13 08:50:44,No Appointments,N/A
2025-05-13 08:52:46,Too Many Requests,N/A
2025-05-13 08:54:40,Too Many Requests,N/A
2025-05-13 08:56:48,No Appointments,N/A
2025-05-13 08:58:47,No Appointments,N/A
2025-05-13 09:00:44,No Appointments,N/A
2025-05-13 09:02:52,No Appointments,N/A
2025-05-13 09:04:50,No Appointments,N/A
2025-05-13 09:06:44,No Appointments,N/A
2025-05-13 09:08:49,No Appointments,N/A
2025-05-13 09:10:43,No Appointments,N/A
2025-05-13 09:12:42,Too Many Requests,N/A
2025-05-13 09:14:46,No Appointments,N/A
2025-05-13 09:16:43,No Appointments,N/A
2025-05-13 09:18:44,No Appointments,N/A
2025-05-13 09:21:00,No Appointments,N/A
2025-05-13 09:22:50,No Appointments,N/A
2025-05-13 09:24:43,No Appointments,N/A
2025-05-13 09:26:53,No Appointments,N/A
2025-05-13 09:28:48,No Appointments,N/A
2025-05-13 09:30:47,No Appointments,N/A
2025-05-13 09:32:44,No Appointments,N/A
2025-05-13 09:34:49,No Appointments,N/A
2025-05-13 09:36:46,No Appointments,N/A
2025-05-13 09:38:41,No Appointments,N/A
2025-05-13 09:40:44,Too Many Requests,N/A
2025-05-13 09:42:43,No Appointments,N/A
2025-05-13 09:44:43,No Appointments,N/A
2025-05-13 09:46:54,Too Many Requests,N/A
2025-05-13 09:48:51,No Appointments,N/A
2025-05-13 09:50:58,No Appointments,N/A
2025-05-13 09:52:41,No Appointments,N/A
2025-05-13 09:54:43,No Appointments,N/A
2025-05-13 09:56:59,No Appointments,N/A
2025-05-13 09:58:54,No Appointments,N/A
2025-05-13 10:00:46,No Appointments,N/A
2025-05-13 10:02:58,No Appointments,N/A
2025-05-13 10:04:47,No Appointments,N/A
2025-05-13 10:06:44,Too Many Requests,N/A
2025-05-13 10:08:50,No Appointments,N/A
2025-05-13 10:10:56,No Appointments,N/A
2025-05-13 10:12:50,No Appointments,N/A
2025-05-13 10:14:45,No Appointments,N/A
2025-05-13 10:16:49,No Appointments,N/A
2025-05-13 10:18:42,No Appointments,N/A
2025-05-13 10:20:44,Appointments Available,14.05.2025
2025-05-13 10:20:44,Appointments Available,20.05.2025
2025-05-13 10:22:54,Appointments Available,14.05.2025
2025-05-13 10:24:44,Appointments Available,14.05.2025
2025-05-13 10:26:47,No Appointments,N/A
2025-05-13 10:28:42,No Appointments,N/A
2025-05-13 10:30:47,Appointments Available,14.05.2025
2025-05-13 10:32:53,No Appointments,N/A
2025-05-13 10:34:41,No Appointments,N/A
2025-05-13 10:36:48,Appointments Available,14.05.2025
2025-05-13 10:38:48,No Appointments,N/A
2025-05-13 10:40:44,No Appointments,N/A
2025-05-13 10:42:43,No Appointments,N/A
2025-05-13 10:44:43,No Appointments,N/A
2025-05-13 10:46:48,No Appointments,N/A
2025-05-13 10:48:52,Too Many Requests,N/A
2025-05-13 10:50:47,No Appointments,N/A
2025-05-13 10:52:46,No Appointments,N/A
2025-05-13 10:54:44,No Appointments,N/A
2025-05-13 10:56:43,No Appointments,N/A
2025-05-13 10:58:57,No Appointments,N/A
2025-05-13 11:00:46,No Appointments,N/A
2025-05-13 11:02:59,No Appointments,N/A
2025-05-13 11:04:47,No Appointments,N/A
2025-05-13 11:06:48,No Appointments,N/A
2025-05-13 11:08:44,No Appointments,N/A
2025-05-13 11:10:45,No Appointments,N/A
2025-05-13 11:12:43,No Appointments,N/A
2025-05-13 11:14:44,No Appointments,N/A
2025-05-13 11:16:42,No Appointments,N/A
2025-05-13 11:18:44,Too Many Requests,N/A
2025-05-13 11:20:43,No Appointments,N/A
2025-05-13 11:22:44,No Appointments,N/A
2025-05-13 11:24:51,No Appointments,N/A
2025-05-13 11:26:47,No Appointments,N/A
2025-05-13 11:28:44,Too Many Requests,N/A
2025-05-13 11:30:49,No Appointments,N/A
2025-05-13 11:32:42,No Appointments,N/A
2025-05-13 11:34:56,No Appointments,N/A
2025-05-13 11:36:40,No Appointments,N/A
2025-05-13 11:38:48,Access Denied,N/A
2025-05-13 11:40:59,No Appointments,N/A
2025-05-13 11:42:55,No Appointments,N/A
2025-05-13 11:44:46,No Appointments,N/A
2025-05-13 11:46:48,No Appointments,N/A
2025-05-13 11:48:45,No Appointments,N/A
2025-05-13 11:50:48,No Appointments,N/A
2025-05-13 11:52:41,No Appointments,N/A
2025-05-13 11:54:47,No Appointments,N/A
2025-05-13 11:56:49,No Appointments,N/A
2025-05-13 11:58:45,No Appointments,N/A
2025-05-13 12:00:47,Access Denied,N/A
2025-05-13 12:02:50,Access Denied,N/A
2025-05-13 12:04:49,No Appointments,N/A
2025-05-13 12:06:52,No Appointments,N/A
2025-05-13 12:08:44,No Appointments,N/A
2025-05-13 12:10:44,No Appointments,N/A
2025-05-13 12:12:48,No Appointments,N/A
2025-05-13 12:14:47,No Appointments,N/A
2025-05-13 12:16:43,No Appointments,N/A
2025-05-13 12:18:48,Too Many Requests,N/A
2025-05-13 12:20:44,Appointments Available,14.05.2025
2025-05-13 12:22:43,No Appointments,N/A
2025-05-13 12:24:46,No Appointments,N/A
2025-05-13 12:27:21,No Appointments,N/A
2025-05-13 12:28:56,No Appointments,N/A
2025-05-13 12:30:45,No Appointments,N/A
2025-05-13 12:32:42,No Appointments,N/A
2025-05-13 12:34:43,No Appointments,N/A
2025-05-13 12:36:47,No Appointments,N/A
